aws_accessanalyzer_analyzer AWS::AccessAnalyzer::Analyzer
aws_acmpca_certificate AWS::ACMPCA::Certificate
aws_acmpca_certificate_authority AWS::ACMPCA::CertificateAuthority
aws_acmpca_permission AWS::ACMPCA::Permission
aws_amplify_app AWS::Amplify::App
aws_amplify_branch AWS::Amplify::Branch
aws_api_gateway_account AWS::ApiGateway::Account
aws_api_gateway_api_key AWS::ApiGateway::ApiKey
aws_api_gateway_authorizer AWS::ApiGateway::Authorizer
aws_api_gateway_base_path_mapping AWS::ApiGateway::BasePathMapping
aws_api_gateway_client_certificate AWS::ApiGateway::ClientCertificate
aws_api_gateway_deployment AWS::ApiGateway::Deployment
aws_api_gateway_documentation_part AWS::ApiGateway::DocumentationPart
aws_api_gateway_documentation_version AWS::ApiGateway::DocumentationVersion
aws_api_gateway_domain_name AWS::ApiGateway::DomainName
aws_api_gateway_domain_name_access_association AWS::ApiGateway::DomainNameAccessAssociation
aws_api_gateway_gateway_response AWS::ApiGateway::GatewayResponse
aws_api_gateway_method AWS::ApiGateway::Method
aws_api_gateway_model AWS::ApiGateway::Model
aws_api_gateway_request_validator AWS::ApiGateway::RequestValidator
aws_api_gateway_resource AWS::ApiGateway::Resource
aws_api_gateway_rest_api AWS::ApiGateway::RestApi
aws_api_gateway_stage AWS::ApiGateway::Stage
aws_api_gateway_usage_plan AWS::ApiGateway::UsagePlan
aws_api_gateway_usage_plan_key AWS::ApiGateway::UsagePlanKey
aws_api_gateway_vpc_link AWS::ApiGateway::VpcLink
aws_apigatewayv2_api AWS::ApiGatewayV2::Api
aws_apigatewayv2_api_mapping AWS::ApiGatewayV2::ApiMapping
aws_apigatewayv2_authorizer AWS::ApiGatewayV2::Authorizer
aws_apigatewayv2_deployment AWS::ApiGatewayV2::Deployment
aws_apigatewayv2_domain_name AWS::ApiGatewayV2::DomainName
aws_apigatewayv2_integration AWS::ApiGatewayV2::Integration
aws_apigatewayv2_integration_response AWS::ApiGatewayV2::IntegrationResponse
aws_apigatewayv2_model AWS::ApiGatewayV2::Model
aws_apigatewayv2_route AWS::ApiGatewayV2::Route
aws_apigatewayv2_route_response AWS::ApiGatewayV2::RouteResponse
aws_apigatewayv2_stage AWS::ApiGatewayV2::Stage
aws_apigatewayv2_vpc_link AWS::ApiGatewayV2::VpcLink
aws_appconfig_application AWS::AppConfig::Application
aws_appconfig_configuration_profile AWS::AppConfig::ConfigurationProfile
aws_appconfig_deployment AWS::AppConfig::Deployment
aws_appconfig_deployment_strategy AWS::AppConfig::DeploymentStrategy
aws_appconfig_environment AWS::AppConfig::Environment
aws_appconfig_extension AWS::AppConfig::Extension
aws_appconfig_extension_association AWS::AppConfig::ExtensionAssociation
aws_appconfig_hosted_configuration_version AWS::AppConfig::HostedConfigurationVersion
aws_appflow_connector_profile AWS::AppFlow::ConnectorProfile
aws_appflow_flow AWS::AppFlow::Flow
aws_appintegrations_data_integration AWS::AppIntegrations::DataIntegration
aws_appintegrations_event_integration AWS::AppIntegrations::EventIntegration
aws_applicationinsights_application AWS::ApplicationInsights::Application
aws_appmesh_gateway_route AWS::AppMesh::GatewayRoute
aws_appmesh_mesh AWS::AppMesh::Mesh
aws_appmesh_route AWS::AppMesh::Route
aws_appmesh_virtual_gateway AWS::AppMesh::VirtualGateway
aws_appmesh_virtual_node AWS::AppMesh::VirtualNode
aws_appmesh_virtual_router AWS::AppMesh::VirtualRouter
aws_appmesh_virtual_service AWS::AppMesh::VirtualService
aws_apprunner_observability_configuration AWS::AppRunner::ObservabilityConfiguration
aws_apprunner_service AWS::AppRunner::Service
aws_apprunner_vpc_connector AWS::AppRunner::VpcConnector
aws_apprunner_vpc_ingress_connection AWS::AppRunner::VpcIngressConnection
aws_appstream_directory_config AWS::AppStream::DirectoryConfig
aws_appstream_fleet AWS::AppStream::Fleet
aws_appstream_image_builder AWS::AppStream::ImageBuilder
aws_appstream_stack AWS::AppStream::Stack
aws_appstream_user AWS::AppStream::User
aws_appsync_api_cache AWS::AppSync::ApiCache
aws_appsync_api_key AWS::AppSync::ApiKey
aws_appsync_datasource AWS::AppSync::DataSource
aws_appsync_domain_name AWS::AppSync::DomainName
aws_appsync_domain_name_api_association AWS::AppSync::DomainNameApiAssociation
aws_appsync_graphql_api AWS::AppSync::GraphQLApi
aws_appsync_resolver AWS::AppSync::Resolver
aws_appsync_source_api_association AWS::AppSync::SourceApiAssociation
aws_athena_capacity_reservation AWS::Athena::CapacityReservation
aws_athena_data_catalog AWS::Athena::DataCatalog
aws_athena_named_query AWS::Athena::NamedQuery
aws_athena_prepared_statement AWS::Athena::PreparedStatement
aws_athena_workgroup AWS::Athena::WorkGroup
aws_auditmanager_assessment AWS::AuditManager::Assessment
aws_autoscaling_lifecycle_hook AWS::AutoScaling::LifecycleHook
aws_autoscalingplans_scaling_plan AWS::AutoScalingPlans::ScalingPlan
aws_backup_framework AWS::Backup::Framework
aws_backup_report_plan AWS::Backup::ReportPlan
aws_backup_restore_testing_plan AWS::Backup::RestoreTestingPlan
aws_backup_restore_testing_selection AWS::Backup::RestoreTestingSelection
aws_batch_compute_environment AWS::Batch::ComputeEnvironment
aws_batch_job_definition AWS::Batch::JobDefinition
aws_batch_job_queue AWS::Batch::JobQueue
aws_batch_scheduling_policy AWS::Batch::SchedulingPolicy
aws_bcmdataexports_export AWS::BCMDataExports::Export
aws_bedrock_guardrail AWS::Bedrock::Guardrail
aws_bedrock_guardrail_version AWS::Bedrock::GuardrailVersion
aws_bedrockagent_agent AWS::Bedrock::Agent
aws_bedrockagent_agent_alias AWS::Bedrock::AgentAlias
aws_bedrockagent_data_source AWS::Bedrock::DataSource
aws_bedrockagent_knowledge_base AWS::Bedrock::KnowledgeBase
aws_bedrockagent_prompt AWS::Bedrock::Prompt
aws_budgets_budget AWS::Budgets::Budget
aws_ce_anomaly_monitor AWS::CE::AnomalyMonitor
aws_ce_anomaly_subscription AWS::CE::AnomalySubscription
aws_ce_cost_category AWS::CE::CostCategory
aws_chatbot_slack_channel_configuration AWS::Chatbot::SlackChannelConfiguration
aws_cleanrooms_collaboration AWS::CleanRooms::Collaboration
aws_cleanrooms_configured_table AWS::CleanRooms::ConfiguredTable
aws_cleanrooms_membership AWS::CleanRooms::Membership
aws_cloud9_environment_ec2 AWS::Cloud9::EnvironmentEC2
aws_cloudformation_stack AWS::CloudFormation::Stack
aws_cloudformation_stack_set AWS::CloudFormation::StackSet
aws_cloudfront_cache_policy AWS::CloudFront::CachePolicy
aws_cloudfront_continuous_deployment_policy AWS::CloudFront::ContinuousDeploymentPolicy
aws_cloudfront_distribution AWS::CloudFront::Distribution
aws_cloudfront_function AWS::CloudFront::Function
aws_cloudfront_key_group AWS::CloudFront::KeyGroup
aws_cloudfront_key_value_store AWS::CloudFront::KeyValueStore
aws_cloudfront_monitoring_subscription AWS::CloudFront::MonitoringSubscription
aws_cloudfront_origin_access_control AWS::CloudFront::OriginAccessControl
aws_cloudfront_origin_request_policy AWS::CloudFront::OriginRequestPolicy
aws_cloudfront_public_key AWS::CloudFront::PublicKey
aws_cloudfront_realtime_log_config AWS::CloudFront::RealtimeLogConfig
aws_cloudfront_response_headers_policy AWS::CloudFront::ResponseHeadersPolicy
aws_cloudfront_vpc_origin AWS::CloudFront::VpcOrigin
aws_cloudtrail_event_data_store AWS::CloudTrail::EventDataStore
aws_cloudwatch_composite_alarm AWS::CloudWatch::CompositeAlarm
aws_cloudwatch_dashboard AWS::CloudWatch::Dashboard
aws_cloudwatch_event_api_destination AWS::Events::ApiDestination
aws_cloudwatch_event_archive AWS::Events::Archive
aws_cloudwatch_event_connection AWS::Events::Connection
aws_cloudwatch_event_endpoint AWS::Events::Endpoint
aws_cloudwatch_event_rule AWS::Events::Rule
aws_cloudwatch_log_account_policy AWS::Logs::AccountPolicy
aws_cloudwatch_log_delivery AWS::Logs::Delivery
aws_cloudwatch_log_delivery_destination AWS::Logs::DeliveryDestination
aws_cloudwatch_log_delivery_source AWS::Logs::DeliverySource
aws_cloudwatch_log_destination AWS::Logs::Destination
aws_cloudwatch_log_metric_filter AWS::Logs::MetricFilter
aws_cloudwatch_log_resource_policy AWS::Logs::ResourcePolicy
